bp_code;bp_etiquet;bp_codeext;bp_pt_code;bp_sf_code;bp_prop;bp_gest;bp_user;bp_proptyp;bp_statut;bp_etat;bp_occp;bp_datemes;bp_avct;bp_typephy;bp_typelog;bp_rf_code;bp_entrees;bp_ref_kit;bp_ca_nb;bp_nb_pas;bp_linecod;bp_oc_code;bp_racco;bp_comment;bp_creadat;bp_majdate;bp_majsrc;bp_abddate;bp_abdsrc
3288167;IRS - INTERSECTION GODILLOT-DIEUMEGARD - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;26/03/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33974117E48.90839836N;26/03/2009;;;;
3288202;IRS - N-1 MAIRIE ILE ST DENIS - BPE 1;TERRITOIRE;3124466;;OR21;OR1;OR21;CST;MCO;OK;1.1;27/08/2004;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 2.33905414348.935595497;27/08/2004;;;;
3288205;IRS - BI LGTS_A (D71) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34056365E48.77598456N;20/07/2009;;;;
3288212;IRS - BI LGTS_B (D72 D73) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34067238E48.77518462N;20/07/2009;;;;
3288231;IRS - 6, BD DE LA VANNE - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;04/10/2002;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34101398E48.79759148N;04/10/2002;;;;
3288235;IRS - RUE DE LA PAIX-BENOIT MALON - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;16/10/2003;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34110873E48.81409909N;16/10/2003;;;;
3288236;IRS - 11 BD DE LA LIBERATION (ST DENIS) - BPE 1;TERRITOIRE;7672318;;OR21;OR1;OR21;CST;MCO;OK;1.1;04/11/2008;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 2.34149788348.92731813;04/11/2008;;;;
3288254;IRS - BI STADE_HAYETTE (E02) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34155628E48.77481608N;20/07/2009;;;;
3288255;IRS - BI COLLEGE_CHEVREUL (D22) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34158357E48.77580476N;20/07/2009;;;;
3288257;IRS - VAILLANT COUTURIER/MALON (GENTILLY) - BPE 1;TERRITOIRE;2483512;;OR21;OR1;OR21;CST;MCO;OK;1.1;08/10/2004;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34146767E48.81627668N;08/10/2004;;;;
3288269;IRS - BI RESIDENCE_CROIX_DU_SUD (A04) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34117812E48.77012590N;20/07/2009;;;;
3288294;IRS - RUE MARCEL VIGNERON - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;28/09/2003;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34233423E48.80110583N;28/09/2003;;;;
3288303;IRS - RUE FRAYSSE (GENTILLY) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;16/10/2003;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34240846E48.80983809N;16/10/2003;;;;
3288310;IRS - BI LA_LIBERTE (D95) - BPE 1;TERRITOIRE;7926397;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34254862E48.77149943N;20/07/2009;;;;
3288321;IRS - RUE RASPAIL ??? GENTILLY - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;16/10/2003;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34290663E48.80959930N;16/10/2003;;;;
3288332;IRS - 119 BIS RUE DU DR BAUER - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;26/03/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34286100E48.90636463N;26/03/2009;;;;
3288337;IRS - BI FOYER_SONACOTRA (D21) - BPE 1;TERRITOIRE;1807025;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34307907E48.77259595N;20/07/2009;;;;
3288338;IRS - BI CHAUFFERIE_STADE (A08) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;21/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34307933E48.77471713N;21/07/2009;;;;
3288345;IRS - BI GS_PASTEUR (D47) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34321481E48.77062755N;20/07/2009;;;;
3288346;IRS - PERI - DISPENSAIRE  (Kremlin-Bicetre) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;09/10/2002;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34323216E48.80073728N;09/10/2002;;;;
3288348;IRS - BI JARDINS_SUD (D62) - BPE 1;TERRITOIRE;7926398;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34325573E48.77166118N;20/07/2009;;;;
3288351;IRS - N-1 POP COMELI (ARCUEIL) - BPE 1;TERRITOIRE;2415025;;OR21;OR1;OR21;CST;MCO;OK;1.1;30/03/2011;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34328683E48.80282246N;30/03/2011;;;;
3288362;BI 5 PLACE JB CLEMENT(VILLETANEUSE) - BPE 1;TERRITOIRE;1369929;;OR21;OR1;OR21;CST;MCO;OK;1.1;17/02/2012;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34342912E48.96312834N;17/02/2012;;;;
3288371;N-1 POP VILLETANEUSE (MOUCHERONS) - BPE 1;TERRITOIRE;1369929;;OR21;OR1;OR21;CST;MCO;OK;1.1;17/02/2012;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34385235E48.96321960N;17/02/2012;;;;
3288378;IRS - 109 BD DE LA LIBERATION (ST DENIS) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;04/11/2008;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34385891E48.92176481N;04/11/2008;;;;
3288385;IRS - 172 AV DIVISION LECLERC  (VILLETANEUSE) - BPE 1;TERRITOIRE;7618872;;OR21;OR1;OR21;CST;MCO;OK;1.1;27/08/2004;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34309197E48.95195454N;27/08/2004;;;;
3288387;IRS - BI RCE_FLOREAL (DXX) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;21/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34392360E48.78306696N;21/07/2009;;;;
3288391;MGP - FINOT-POULBOT - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;17/07/2007;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34396899E48.91836481N;17/07/2007;;;;
3288392;IRS - ANGLE SALENGRO/V. HUGO(VILLETANEUSE);TERRITOIRE;1369927;;OR21;OR1;OR21;CST;MCO;OK;1.1;31/10/2006;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34417570E48.96427719N;31/10/2006;;;;
3288402;IRS - RUE FINOT - POULBOT D600  (Saint Denis) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;28/09/2003;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34370241E48.91831702N;28/09/2003;;;;
3288410;IRS - BOULEVARD ORNANO - RENOUILLERES  (Saint Denis) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;19/09/2003;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34415948E48.91531820N;19/09/2003;;;;
3288420;IRS - CENTRE GEOTHERMIQUE_HAY_LES_ROSES (C02) - BPE 1;TERRITOIRE;1807029;;OR21;OR1;OR21;CST;MCO;OK;1.1;16/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34426377E48.77213999N;16/07/2009;;;;
3288423;IRS - SALENGRO_MAURICE UTRILLO - BPE 1;TERRITOIRE;1369929;;OR21;OR1;OR21;CST;MCO;OK;1.1;22/10/2007;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 2.34432432348.962442044;22/10/2007;;;;
3288425;IRS - BI CHAUFFERIE_THIRARD (A07) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;21/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34434445E48.77769210N;21/07/2009;;;;
3288432;IRS - 67 BD ANATOLE FRANCE - ST DENIS???? - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;25/04/2005;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34451474E48.92034192N;25/04/2005;;;;
3288445;IRS - RUE JOLIOT CURIE/AV DE LA DIVISION LECLERC (VILLETANEUSE) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;12/09/2003;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34487501E48.95773623N;12/09/2003;;;;
3288454;23 RUE SALENGRO (N-1 MAIRIE VILLETANEUSE) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;05/07/2004;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34513491E48.96163644N;05/07/2004;;;;
3288457;IRS - GUINOT-PERRIN - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;26/03/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34517104E48.90548753N;26/03/2009;;;;
3288458;IRS - PERRIN-BERTHOUD - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;26/03/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.34527613E48.90612434N;26/03/2009;;;;
