sf_code;sf_nd_code;sf_ad_code;sf_zp_code;sf_escal;sf_etage;sf_oper;sf_type;sf_prop;sf_resid;sf_local;sf_racco;sf_comment;sf_creadat;sf_majdate;sf_majsrc;sf_abddate;sf_abdsrc
3464968;3464968;3464968;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;16/01/2006;;;;
3464974;3464974;3464974;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;16/01/2006;;;;
3464975;3464975;3464975;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;19/12/2007;;;;
3464988;3464988;3464988;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;06/02/2006;;;;
3464994;3464994;3464994;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/01/2006;;;;
3465006;3465006;3465006;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;06/02/2006;;;;
3465036;3465036;3465036;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;12/04/2005;;;;
3465054;3465054;3465054;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/08/2011;;;;
3465094;3465094;3465094;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;24/11/2003;;;;
3465106;3465106;3465106;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;12/07/2010;;;;
3465112;3465112;3465112;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;27/01/2006;;;;
3465118;3465118;3465118;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/03/2005;;;;
3465137;3465137;3465137;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;27/06/2006;;;;
3465183;3465183;3465183;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;11/02/2003;;;;
3465196;3465196;3465196;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;28/07/2005;;;;
3465198;3465198;3465198;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/11/2002;;;;
3465239;3465239;3465239;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/03/2005;;;;
3466432;3466432;3466432;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;15/07/2004;;;;
3466508;3466508;3466508;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;20/10/2004;;;;
4597121;4597121;4597121;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;15/05/2013;;;;
4652177;4652177;4652177;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;27/05/2013;;;;
5118145;5118145;5118145;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;26/08/2013;;;;
5854129;5854129;5854129;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;16/04/2014;;;;
6313314;6313314;6313314;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;24/09/2014;;;;
6327042;6327042;6327042;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;30/09/2014;;;;
7481745;7481745;7481745;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;02/05/2016;;;;
8596353;8596353;8596353;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;20/02/2017;;;;
8600529;8600529;8600529;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/02/2017;;;;
8665169;8665169;8665169;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;06/03/2017;;;;
10148066;10148066;10148066;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;04/04/2018;;;;
10637660;10637660;10637660;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/09/2018;;;;
10740034;10740034;10740034;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;11/10/2018;;;;
11778449;11778449;11778449;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;09/05/2019;;;;
12701043;12701043;12701043;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;19/09/2019;;;;
13383234;13383234;13383234;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;05/12/2019;;;;
13898179;13898179;13898179;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;10/02/2020;;;;
13900676;13900676;13900676;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;10/02/2020;;;;
14976201;14976201;14976201;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;11/06/2020;;;;
15303250;15303250;15303250;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;10/07/2020;;;;
15435425;15435425;15435425;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;23/07/2020;;;;
15444033;15444033;15444033;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;24/07/2020;;;;
16025795;16025795;16025795;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/09/2020;;;;
16156053;16156053;16156053;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/09/2020;;;;
16157729;16157729;16157729;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/09/2020;;;;
16162450;16162450;16162450;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/09/2020;;;;
16185169;16185169;16185169;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;01/10/2020;;;;
16186129;16186129;16186129;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;01/10/2020;;;;
16195091;16195091;16195091;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;02/10/2020;;;;
16195094;16195094;16195094;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;02/10/2020;;;;
16235121;16235121;16235121;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;06/10/2020;;;;
16235122;16235122;16235122;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;06/10/2020;;;;
16255592;16255592;16255592;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;08/10/2020;;;;
19277681;19277681;19277681;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;26/07/2021;;;;
19705842;19705842;19705842;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;06/09/2021;;;;
22122801;22122801;22122801;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;07/02/2022;;;;
22135602;22135602;22135602;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;08/02/2022;;;;
22231281;22231281;22231281;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;16/02/2022;;;;
24451450;24451450;24451450;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;09/08/2022;;;;
