do_code;do_ref;do_reftier;do_r1_code;do_r2_code;do_r3_code;do_r4_code;do_type;do_indice;do_date;do_classe;do_url1;do_url2;do_comment;do_creadat;do_majdate;do_majsrc;do_abddate;do_abdsrc
285;34756;NUME_9SI-3-T94-042-RT-02;;;;;500;;;;;;;;;;;
286;34757;NUME_9SI-3-T94-042-RT-03;;;;;500;;;;;;;;;;;
287;34758;9SI-3-T94-028-RT-44;;;;;200;;;;;;;;;;;
288;34759;9SI-3-T94-028-RT-42;;;;;200;;;;;;;;;;;
289;34760;9SI-3-T94-028-RT-38;;;;;200;;;;;;;;;;;
290;34796;9SI-3-T94-042-ZO-05;;;;;200;;;;;;;;;;;
291;34797;9SI-3-T94-042-RT-30;;;;;200;;;;;;;;;;;
292;34798;9SI-3-T94-022-RT-52;;;;;200;;;;;;;;;;;
293;34799;9SI-3-T94-022-RT-50;;;;;200;;;;;;;;;;;
294;34800;9SI-3-T94-022-ZO-06;;;;;200;;;;;;;;;;;
295;34843;9SI-3-T92-040-RT-51;;;;;200;;;;;;;;;;;
296;34844;LDKC_9SI-3-T92-025-RT-51;;;;;200;;;;;;;;;;;
297;34845;LDKC_9SI-3-T92-025-RT-64;;;;;200;;;;;;;;;;;
298;34846;LDKC_9SI-3-T92-025-RT-63;;;;;200;;;;;;;;;;;
299;34847;LDKC_9SI-3-T92-025-RT-61;;;;;200;;;;;;;;;;;
300;34903;9SI-3-T77-258-RT-61;;;;;200;;;;;;;;;;;
301;34904;LEV3_9SI-3-T95-218-RT-02;;;;;1000;;;;;;;;;;;
302;34905;LDKC_9SI-3-T92-040-RT-53;;;;;200;;;;;;;;;;;
303;34906;LDKC_9SI-3-T92-040-RT-52;;;;;200;;;;;;;;;;;
304;34907;LEV3_9SI-3-T92-040-RT-02;;;;;200;;;;;;;;;;;
305;34761;9SI-3-T94-028-RT-32;;;;;200;;;;;;;;;;;
306;34762;9SI-3-T94-028-RT-30;;;;;200;;;;;;;;;;;
307;34763;9SI-3-T94-011-ZO-30;;;;;200;;;;;;;;;;;
308;34764;9SI-3-T94-011-RT-26;;;;;200;;;;;;;;;;;
309;34765;9SI-3-T94-011-RT-28;;;;;200;;;;;;;;;;;
310;34801;9SI-3-T94-022-ZO-04;;;;;200;;;;;;;;;;;
311;34802;9SI-3-T94-022-ZO-02;;;;;200;;;;;;;;;;;
312;34803;9SI-3-T94-011-RT-41;;;;;200;;;;;;;;;;;
313;34804;9SI-3-T94-011-RT-51;;;;;200;;;;;;;;;;;
314;34805;9SI-3-T94-011-RT-53;;;;;200;;;;;;;;;;;
315;34848;9SI-3-T92-025-RT-66;;;;;500;;;;;;;;;;;
316;34849;9SI-3-T92-050-ZO-08;;;;;200;;;;;;;;;;;
317;34850;9SI-3-T92-050-ZO-06;;;;;200;;;;;;;;;;;
318;34851;9SI-3-T92-040-ZO-07;;;;;200;;;;;;;;;;;
319;34852;9SI-3-T92-040-ZO-05;;;;;200;;;;;;;;;;;
320;34913;9SI-3-T92-050-ZO-05;;;;;200;;;;;;;;;;;
321;34914;9SI-3-T94-054-ZO-02;;;;;200;;;;;;;;;;;
322;34915;NUME_9SI-3-T94-052-RT-01;;;;;500;;;;;;;;;;;
323;34916;NUME_9SI-3-T94-052-RT-03;;;;;500;;;;;;;;;;;
324;34917;NUME_9SI-3-T94-052-RT-02;;;;;500;;;;;;;;;;;
325;34766;9SI-3-T94-011-RT-29;;;;;200;;;;;;;;;;;
326;34767;9SI-3-T94-011-RT-38;;;;;200;;;;;;;;;;;
327;34768;9SI-3-T94-081-RT-36;;;;;200;;;;;;;;;;;
328;34769;9SI-3-T94-081-RT-32;;;;;200;;;;;;;;;;;
329;34770;9SI-3-T94-081-RT-28;;;;;200;;;;;;;;;;;
330;34806;9SI-3-T94-011-RT-57;;;;;200;;;;;;;;;;;
331;34807;9SI-3-T94-011-RT-59;;;;;200;;;;;;;;;;;
332;34808;9SI-3-T92-024-RT-64;;;;;200;;;;;;;;;;;
333;34809;9SI-3-T92-024-RT-63;;;;;200;;;;;;;;;;;
334;34810;9SI-3-T92-024-RT-62;;;;;500;;;;;;;;;;;
335;34853;9SI-3-T92-040-ZO-04;;;;;200;;;;;;;;;;;
336;34854;9SI-3-T93-071-RT-27;;;;;200;;;;;;;;;;;
337;34855;9SI-3-T93-071-RT-29;;;;;200;;;;;;;;;;;
338;34856;9SI-3-T93-005-RT-28;;;;;200;;;;;;;;;;;
339;34857;9SI-3-T92-078-RT-51;;;;;200;;;;;;;;;;;
340;34935;9SI-3-T92-050-RT-94;;;;;200;;;;;;;;;;;
341;34936;9SI-3-T93-071-RT-28;;;;;200;;;;;;;;;;;
