cb_code;cb_codeext;cb_etiquet;cb_nd1;cb_nd2;cb_r1_code;cb_r2_code;cb_r3_code;cb_r4_code;cb_prop;cb_gest;cb_user;cb_proptyp;cb_statut;cb_etat;cb_dateins;cb_datemes;cb_avct;cb_tech;cb_typephy;cb_typelog;cb_rf_code;cb_capafo;cb_fo_disp;cb_fo_util;cb_modulo;cb_diam;cb_color;cb_lgreel;cb_localis;cb_comment;cb_creadat;cb_majdate;cb_majsrc;cb_abddate;cb_abdsrc
19763560;TERRITOIRE;IRS - 12 FO - FT 2334 - 144 RUE LENAIN / POP MAISON DE QUARTIER DU GRAND AIR MONTREUIL - AA;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;19/08/2020;19/08/2020;C;OPT;C;DI;RF27;12;8;4;2;;5;156,1611;;;19/08/2020;;;;
23002978;TERRITOIRE;IRS - 144 FO - FT 322 - 84 AVENUE CHANDON - BPE 1 / IRS - 55 RUE GABRIEL PERI - BPE 1;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;02/04/2021;02/04/2021;C;OPT;C;LH;RF22;144;96;48;12;;4;1018,2565;;;02/04/2021;;;;
4616393;TERRITOIRE;IRS - 48FO - VERDUN ALLENDE/ORADOUR GLANE GOUTIER;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;03/12/2007;03/12/2007;C;OPT;C;TR;RF19;48;46;2;4;;4;77,9554;;;03/12/2007;;;;
6055603;TERRITOIRE;IRS - 144FO - 12 RUE PIERRE ET MARIE CURIE/N-1 APHP J ROSTAND;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;04/04/2013;04/04/2013;C;OPT;C;LH;RF22;144;143;1;12;;4;669,7052;;;04/04/2013;;;;
4627286;TERRITOIRE;IRS - BD JEAN MOULIN/ANGLE LEDRU ROLLIN - TURGO-2;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;07/03/2008;07/03/2008;C;OPT;C;TR;RF16;72;34;38;6;;4;467,5959;;;07/03/2008;;;;
43876582;TERRITOIRE;36 FO - IRS - 16 RUE SEVERINE/IRS - ANGLE MARCEL SEMBAT - SEVERINE;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;19/03/2024;19/03/2024;C;OPT;C;TR;RF50;36;34;2;3;;4;5,7417;;;19/03/2024;;;;
4630964;TERRITOIRE;IRS - 24FO BI/POP CHAUFFERIE_CROIX_DU_SUD (A04);;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;27/07/2009;27/07/2009;C;OPT;C;DI;RF15;24;22;2;4;;4;7,2623;;;27/07/2009;;;;
16531588;TERRITOIRE;IRS - 24FO - BRIAND OHRESSER / FT 2713 - 120 BOULEVARD DE STALINGRAD;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;20/11/2019;20/11/2019;C;OPT;C;DI;RF29;24;20;4;4;;5;449,9442;;;20/11/2019;;;;
4629925;TERRITOIRE;IRS - 144FO - RASPAIL_STE FOIX BPE2/JULES FERRY PK 3703;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;29/07/2009;29/07/2009;C;OPT;C;LH;RF40;144;94;50;12;;4;659,9413;;;29/07/2009;;;;
4604873;TERRITOIRE;IRS - 48FO - BLANDIN-CHATENAY/CHATENAY-PREVERT PIERREFITTE;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;09/12/2005;09/12/2005;C;OPT;C;TR;RF19;48;40;8;4;;4;101,2787;;;09/12/2005;;;;
9746707;HORS TERRITOIRE;IRS - 48 FO - FT 2016 - IRS OTI FRANCE N-1 / AVE DE LA MARE (SAINT OUEN L AUMONE);;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;15/03/2016;15/03/2016;C;OPT;C;TR;RF20;48;46;2;8;;5;479,9452;;;15/03/2016;;;;
4641072;TERRITOIRE;IRS - 144FO - NEW CONVENTION PERI/16 RUE SEVERINE;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;23/01/2012;23/01/2012;C;OPT;C;LH;RF40;144;138;6;12;;4;585,8430;;;23/01/2012;;;;
4631457;TERRITOIRE;IRS - 24FO BI/POP CILOF DOUANES (D61);;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;24/07/2009;24/07/2009;C;OPT;C;DI;RF15;24;20;4;4;;4;25,2393;;;24/07/2009;;;;
28951782;TERRITOIRE;IRS - 24FO - FT3434 - RUE JULES VALLES  / FT2722 - RUE CHARLES DELAVACQUERIE;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;14/01/2022;14/01/2022;C;OPT;C;DI;RF29;24;20;4;4;;5;602,1226;;;14/01/2022;;;;
35527457;TERRITOIRE;IRIS - 12FO - POP ECOLE PIERRE BROSSOLETTE / POP CAM51;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;09/12/2022;09/12/2022;C;OPT;C;DI;RF27;12;10;2;2;;5;204,5988;;;09/12/2022;;;;
29945383;TERRITOIRE;IRS - 8 RUE GABRIEL PERI (MONTROUGE) - BPE 1 / IRS - PERI-GINOUX (MONTROUGE) - BPE 1;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;04/03/2022;04/03/2022;C;OPT;C;DI;RF27;12;8;4;2;;5;130,2522;;;04/03/2022;;;;
4603519;TERRITOIRE;CAB000000015765 - 144FO;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;28/05/2004;28/05/2004;C;OPT;C;LH;RF74;144;90;54;12;;100;25,0198;;;28/05/2004;;;;
6299745;TERRITOIRE;144 FO - IRISE - ANGLE GARDINOUX-VICTOR HUGO - BPE 1 / TABAC VICTOR HUGO;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;30/04/2013;30/04/2013;C;OPT;C;LH;RF22;144;126;18;12;;4;403,7193;;;30/04/2013;;;;
4633278;TERRITOIRE;IRS - 144FO - 7 RUE DES NOYERS (D619AUB0004)/CHB PRESSENCE (HT ST DENIS);;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;29/09/2009;29/09/2009;C;OPT;C;LH;RF40;144;89;55;12;;4;1408,2835;;;29/09/2009;;;;
