dm_cd_code;dm_cm_code;dm_creadat;dm_majdate;dm_majsrc;dm_abddate;dm_abdsrc
427160;560841;;;;;
427161;560841;;;;;
427162;560841;;;;;
427163;560841;;;;;
427164;560842;;;;;
427165;560842;;;;;
427166;560842;;;;;
427167;560842;;;;;
427186;560861;;;;;
427555;562336;;;;;
427556;562338;;;;;
427557;562338;;;;;
427558;562339;;;;;
427559;562339;;;;;
427560;562340;;;;;
427561;562340;;;;;
427562;562340;;;;;
427563;562340;;;;;
427565;562343;;;;;
427566;562344;;;;;
427567;562346;;;;;
427568;562348;;;;;
427569;562350;;;;;
427570;562351;;;;;
427571;562351;;;;;
427572;562352;;;;;
427573;562353;;;;;
427574;562353;;;;;
427575;562353;;;;;
427586;562355;;;;;
427587;562356;;;;;
427588;562356;;;;;
427589;562357;;;;;
427590;562357;;;;;
425519;556250;;;;;
425520;556250;;;;;
425521;556251;;;;;
425522;556251;;;;;
425523;556251;;;;;
425524;556252;;;;;
425525;556252;;;;;
425526;556252;;;;;
425527;556252;;;;;
425528;556252;;;;;
425531;556254;;;;;
425532;556255;;;;;
425533;556255;;;;;
425534;556255;;;;;
426200;558903;;;;;
426201;558904;;;;;
426202;558906;;;;;
426203;558906;;;;;
426204;558906;;;;;
426205;558908;;;;;
426206;558908;;;;;
426207;558909;;;;;
426208;558909;;;;;
426209;558910;;;;;
426210;558910;;;;;
426211;558912;;;;;
426215;558919;;;;;
426216;558919;;;;;
426217;558920;;;;;
426218;558922;;;;;
426219;558922;;;;;
426220;558922;;;;;
427187;560861;;;;;
427188;560861;;;;;
427189;560862;;;;;
427190;560862;;;;;
427191;560862;;;;;
427192;560863;;;;;
427193;560863;;;;;
427194;560865;;;;;
427196;560867;;;;;
427197;560867;;;;;
427198;560868;;;;;
427199;560870;;;;;
426851;562404;;;;;
426852;562405;;;;;
426853;562405;;;;;
426854;562407;;;;;
426855;562407;;;;;
426856;562408;;;;;
426857;564163;;;;;
426858;564165;;;;;
426859;564167;;;;;
426860;564169;;;;;
426861;564170;;;;;
426862;564172;;;;;
426869;566367;;;;;
426870;566368;;;;;
426871;566369;;;;;
427395;562326;;;;;
427396;562327;;;;;
427397;562327;;;;;
427399;562329;;;;;
427400;562330;;;;;
427401;562332;;;;;
427402;562334;;;;;
427403;562335;;;;;
427404;562335;;;;;
426221;558923;;;;;
426222;558923;;;;;
426223;558925;;;;;
426224;558926;;;;;
426225;558928;;;;;
426231;558935;;;;;
426232;558936;;;;;
426233;558936;;;;;
426234;558937;;;;;
426236;558938;;;;;
