cc_cb_code;cc_cd_code;cc_creadat;cc_majdate;cc_majsrc;cc_abddate;cc_abdsrc
4636502;427016;19/05/2011;;;;
7515735;751726;19/11/2013;;;;
4633313;478494;20/07/2009;;;;
4614083;434413;25/10/2007;;;;
4632276;426869;22/07/2009;;;;
4632120;426869;17/07/2009;;;;
4633192;426870;28/07/2009;;;;
4632257;486763;22/07/2009;;;;
4633295;486763;20/07/2009;;;;
4633296;486763;20/07/2009;;;;
22878817;427012;25/03/2021;;;;
4633360;8163263;23/09/2009;;;;
4633206;610600;28/07/2009;;;;
8130194;610600;30/04/2014;;;;
4631631;610600;20/08/2009;;;;
4605561;465335;01/06/2004;;;;
4632357;499811;22/07/2009;;;;
4622118;441133;29/06/2011;;;;
19279080;;16/07/2020;;;;
19279081;448705;16/07/2020;;;;
23670498;;18/05/2021;;;;
19887729;;28/08/2020;;;;
19898273;;28/08/2020;;;;
4604910;547879;03/08/2009;;;;
4633306;422211;20/07/2009;;;;
4633307;422211;20/07/2009;;;;
4608111;434917;20/05/2005;;;;
12820626;478505;02/05/2018;;;;
9868037;1088381;25/04/2016;;;;
6855891;8174141;01/07/2013;;;;
4600632;653809;01/01/2004;;;;
4603788;653809;18/07/2006;;;;
15505317;486925;06/08/2019;;;;
4608155;434452;15/12/2005;;;;
11518491;434185;29/06/2017;;;;
4610947;434185;19/07/2006;;;;
4632368;463192;22/07/2009;;;;
20743456;463192;23/10/2020;;;;
7257811;515845;03/09/2013;;;;
4605557;429639;27/05/2004;;;;
17719486;1578935;19/07/2006;;;;
33717858;489913;12/09/2022;;;;
4640987;489913;31/01/2012;;;;
4610538;434817;08/07/2008;;;;
4607626;434817;05/11/2004;;;;
4632641;436653;30/06/2009;;;;
4632642;436653;30/06/2009;;;;
4634190;429865;05/12/2011;;;;
8272242;429865;12/06/2014;;;;
4599208;429865;05/07/2002;;;;
4638684;501580;22/11/2011;;;;
4720867;501580;01/10/2012;;;;
4610949;431378;19/07/2006;;;;
4601702;3507901;28/05/2004;;;;
4609330;436032;24/01/2005;;;;
4608520;467726;01/09/2010;;;;
4608192;472425;22/03/2005;;;;
4608599;435904;17/01/2006;;;;
4609432;1534462;30/05/2005;;;;
4634160;439674;23/12/2009;;;;
4621285;582467;28/09/2010;;;;
4621280;582467;28/09/2010;;;;
4611622;431809;06/02/2006;;;;
11655153;431809;28/07/2017;;;;
4605781;3581513;05/02/2004;;;;
4610870;435704;30/01/2006;;;;
4609660;489579;03/01/2008;;;;
29259963;439828;01/02/2022;;;;
4637926;425903;10/02/2011;;;;
14870114;430256;22/05/2019;;;;
4607751;507151;21/03/2005;;;;
4607394;432909;20/05/2005;;;;
4597999;470060;13/11/2008;;;;
4638614;467178;25/03/2011;;;;
4609049;467178;18/08/2011;;;;
4614803;426856;03/11/2006;;;;
4634014;488938;15/03/2010;;;;
4603680;436169;27/09/2004;;;;
4636007;436169;20/09/2010;;;;
28231474;458100;14/12/2021;;;;
4608110;458100;20/05/2005;;;;
4607378;492591;03/09/2009;;;;
4606918;492591;03/08/2005;;;;
35599859;435867;14/12/2022;;;;
4614458;435867;27/09/2007;;;;
5059732;467186;09/02/2012;;;;
4603697;465124;04/05/2004;;;;
8177281;435013;16/05/2014;;;;
4608723;435013;20/07/2005;;;;
8433873;501077;24/07/2014;;;;
4641591;427009;18/01/2012;;;;
4628063;486771;20/03/2008;;;;
4612907;486771;03/11/2006;;;;
7683458;435491;09/01/2014;;;;
4617865;435491;12/04/2012;;;;
7233490;435491;27/08/2013;;;;
4608597;435491;17/01/2006;;;;
4608499;435491;17/01/2006;;;;
33296097;465346;17/01/2013;;;;
4630383;405479;15/09/2011;;;;
23498980;1583170;24/01/2012;;;;
8198423;429913;22/05/2014;;;;
4609828;429913;03/08/2005;;;;
8198424;429913;22/05/2014;;;;
4631362;497863;28/04/2009;;;;
4606844;497863;07/11/2005;;;;
4602474;430521;01/09/2004;;;;
4603455;436943;28/10/2004;;;;
4604536;472770;22/11/2005;;;;
4608928;461365;30/10/2007;;;;
4595312;425169;25/06/2001;;;;
16584041;431026;26/11/2019;;;;
8376385;436081;09/06/2008;;;;
4596480;426848;25/05/2009;;;;
4613114;440209;16/05/2006;;;;
7138146;505984;23/07/2013;;;;
8057905;491260;09/04/2014;;;;
4611469;431785;20/11/2006;;;;
30084577;431785;10/03/2022;;;;
4614806;431785;03/11/2006;;;;
22031475;431922;27/01/2021;;;;
4632441;437330;12/06/2009;;;;
4633187;457143;15/09/2009;;;;
4609709;9055097;01/02/2011;;;;
4607293;488662;08/12/2009;;;;
6154148;977341;15/04/2013;;;;
6154147;977341;15/04/2013;;;;
34136098;3305346;29/09/2022;;;;
14840044;9116881;20/05/2019;;;;
6586148;8172858;05/06/2013;;;;
6586149;8172858;05/06/2013;;;;
4638760;406188;27/10/2011;;;;
4637359;433888;13/05/2011;;;;
4603876;462625;03/05/2004;;;;
15232369;487529;05/07/2019;;;;
4611449;463954;21/11/2006;;;;
4606006;430930;19/08/2010;;;;
4599099;486637;13/12/2002;;;;
